,scheme_code,scheme_name,nav_start,date_start,nav_end,date_end,nav_growth_abs,nav_growth_pct
185,153780,,98.0657,2025-07-31,156.0229,2026-05-19,57.9572,59.1
186,107989,INF336L01420,15.4833,2025-05-20,24.4243,2026-05-18,8.941,57.75
187,148700,INF846K01Y54,8.12,2025-05-20,12.78,2026-05-18,4.66,57.39
188,148699,,8.13,2025-05-20,12.79,2026-05-18,4.66,57.32
189,153795,,10.0758,2025-08-22,15.7308,2026-05-19,5.655,56.12
190,153794,,10.0755,2025-08-22,15.6998,2026-05-19,5.6243,55.82
191,148701,,7.75,2025-05-20,12.07,2026-05-18,4.32,55.74
192,148702,INF846K01Y88,7.75,2025-05-20,12.07,2026-05-18,4.32,55.74
193,119253,INF740K01OJ3,53.8086,2025-05-20,83.1687,2026-05-18,29.3601,54.56
194,117692,INF740K01LR2,27.9285,2025-05-20,42.8128,2026-05-18,14.8843,53.29
195,149438,,71.3769,2025-05-20,109.34,2026-05-18,37.9631,53.19
196,149910,,16.3173,2025-05-20,24.9243,2026-05-18,8.607,52.75
197,114984,,178.5855,2025-05-20,272.5755,2026-05-18,93.99,52.63
198,148662,,18.5329,2025-05-20,28.2861,2026-05-18,9.7532,52.63
199,149219,,15.9232,2025-05-20,24.3001,2026-05-18,8.3769,52.61
200,149221,INF109KC1U76,15.9217,2025-05-20,24.2978,2026-05-18,8.3761,52.61
201,149911,,16.2202,2025-05-20,24.7407,2026-05-18,8.5205,52.53
202,149289,INF209KB10D0,15.0375,2025-05-20,22.8863,2026-05-18,7.8488,52.19
203,149291,,15.0355,2025-05-20,22.8832,2026-05-18,7.8477,52.19
204,148661,,18.2252,2025-05-20,27.714,2026-05-18,9.4888,52.06
205,149218,,15.6573,2025-05-20,23.7799,2026-05-18,8.1226,51.88
206,149220,INF109KC1U43,15.6571,2025-05-20,23.7795,2026-05-18,8.1224,51.88
207,150749,INF846K014K5,19.4449,2025-05-20,29.495,2026-05-18,10.0501,51.69
208,150751,,19.4449,2025-05-20,29.495,2026-05-18,10.0501,51.69
209,149290,,14.8257,2025-05-20,22.4879,2026-05-18,7.6622,51.68
210,149292,INF209KB17C7,14.8245,2025-05-20,22.4861,2026-05-18,7.6616,51.68
211,138456,,18.22,2025-05-20,27.59,2026-05-18,9.37,51.43
212,149961,,17.1317,2025-05-20,25.9352,2026-05-19,8.8035,51.39
213,150748,INF846K017K8,19.2524,2025-05-20,29.1036,2026-05-18,9.8512,51.17
214,150750,,19.2525,2025-05-20,29.1037,2026-05-18,9.8512,51.17
215,149960,,17.0041,2025-05-20,25.6847,2026-05-19,8.6806,51.05
216,149170,,19.482,2025-05-20,29.22,2026-05-19,9.738,49.98
217,138453,,16.02,2025-05-20,24.01,2026-05-18,7.99,49.88
218,149171,,19.191,2025-05-20,28.67,2026-05-19,9.479,49.39
219,118559,,32.0505,2025-05-20,47.5113,2026-05-18,15.4608,48.24
220,118558,INF090I01IY8,14.6771,2025-05-20,21.7546,2026-05-18,7.0775,48.22
221,106978,INF090I01AA5,13.8536,2025-05-20,20.3664,2026-05-18,6.5128,47.01
222,106979,,29.3495,2025-05-20,43.1473,2026-05-18,13.7978,47.01
223,148063,,27.9113,2025-05-20,40.9818,2026-05-18,13.0705,46.83
224,127072,INF336L01HH6,17.4331,2025-05-20,25.5499,2026-05-18,8.1168,46.56
225,120035,,7.9704,2025-05-20,11.6616,2026-05-18,3.6912,46.31
226,120036,INF336L01BX6,7.9636,2025-05-20,11.6516,2026-05-18,3.688,46.31
227,148760,,17.4724,2025-05-20,25.5218,2026-05-18,8.0494,46.07
228,148761,INF200KA1U44,17.4724,2025-05-20,25.5219,2026-05-18,8.0495,46.07
229,127070,INF336L01HE3,17.53,2025-05-20,25.5929,2026-05-18,8.0629,45.99
230,115116,,7.2928,2025-05-20,10.6153,2026-05-18,3.3225,45.56
231,115117,INF336L01180,7.2928,2025-05-20,10.6153,2026-05-18,3.3225,45.56
232,148064,,26.5415,2025-05-20,38.6312,2026-05-18,12.0897,45.55
233,148759,INF200KA1U10,16.9351,2025-05-20,24.5748,2026-05-18,7.6397,45.11
234,148762,,16.9357,2025-05-20,24.5756,2026-05-18,7.6399,45.11
235,152924,,9.1614,2025-05-20,13.2495,2026-05-19,4.0881,44.62
236,152769,,9.157,2025-05-20,13.2363,2026-05-19,4.0793,44.55
237,149169,,47.1392,2025-05-20,68.0332,2026-05-19,20.894,44.32
238,153826,,10.273,2025-09-10,14.7304,2026-05-19,4.4574,43.39
239,153827,,10.005,2025-09-12,14.3341,2026-05-19,4.3291,43.27
240,153828,,10.0046,2025-09-12,14.2848,2026-05-19,4.2802,42.78
241,148928,,29.136,2025-05-20,41.367,2026-05-19,12.231,41.98
242,148929,,28.678,2025-05-20,40.565,2026-05-19,11.887,41.45
243,148381,,23.3926,2025-05-20,32.8862,2026-05-18,9.4936,40.58
244,149831,,15.7727,2025-05-20,22.1616,2026-05-18,6.3889,40.51
245,149830,,15.788,2025-05-20,22.1615,2026-05-18,6.3735,40.37
246,148927,,114.381,2025-05-20,160.5139,2026-05-19,46.1329,40.33
247,148382,,22.7096,2025-05-20,31.7593,2026-05-18,9.0497,39.85
248,149059,,10.8995,2025-05-20,15.2392,2026-05-18,4.3397,39.82
249,149060,INF174KA1HI0,10.8984,2025-05-20,15.237,2026-05-18,4.3386,39.81
250,148614,,10.1746,2025-05-20,14.1914,2026-05-19,4.0168,39.48
251,148615,INF205KA1288,10.1753,2025-05-20,14.1905,2026-05-19,4.0152,39.46
252,149180,,15.246,2025-05-20,21.238,2026-05-18,5.992,39.3
253,149181,,14.98,2025-05-20,20.786,2026-05-18,5.806,38.76
254,149056,,10.4088,2025-05-20,14.3945,2026-05-18,3.9857,38.29
255,149058,INF174KA1HF6,10.4091,2025-05-20,14.3949,2026-05-18,3.9858,38.29
256,148612,INF205KA1254,9.7331,2025-05-20,13.4521,2026-05-19,3.719,38.21
257,148613,,9.7335,2025-05-20,13.4523,2026-05-19,3.7188,38.21
258,149815,INF740KA1QR7,15.7938,2025-05-20,21.7474,2026-05-18,5.9536,37.7
259,149816,,15.7938,2025-05-20,21.7474,2026-05-18,5.9536,37.7
260,130860,,22.1772,2025-05-20,30.53,2026-05-19,8.3528,37.66
261,130861,,22.1772,2025-05-20,30.53,2026-05-19,8.3528,37.66
262,130864,,22.1772,2025-05-20,30.53,2026-05-19,8.3528,37.66
263,153929,,193.4545,2025-12-12,265.615,2026-05-19,72.1605,37.3
264,153406,,40.7739,2025-05-20,55.8795,2026-05-19,15.1056,37.05
265,153138,,9.6515,2025-05-20,13.2247,2026-05-19,3.5732,37.02
266,148955,INF846K01Z46,14.26,2025-05-20,19.5,2026-05-18,5.24,36.75
267,148954,,14.27,2025-05-20,19.5,2026-05-18,5.23,36.65
268,152090,,13.2964,2025-05-20,18.1644,2026-05-18,4.868,36.61
269,152951,,11.0915,2025-05-20,15.1418,2026-05-19,4.0503,36.52
270,152952,INF277KA1CP2,11.0915,2025-05-20,15.1418,2026-05-19,4.0503,36.52
271,152953,,11.0915,2025-05-20,15.1418,2026-05-19,4.0503,36.52
272,149814,INF740KA1QO4,15.3295,2025-05-20,20.9227,2026-05-18,5.5932,36.49
273,149817,,15.3295,2025-05-20,20.9227,2026-05-18,5.5932,36.49
274,153137,,9.6228,2025-05-20,13.102,2026-05-19,3.4792,36.16
275,126353,,20.3921,2025-05-20,27.7581,2026-05-19,7.366,36.12
276,126352,INF205K01A40,20.3328,2025-05-20,27.6744,2026-05-19,7.3416,36.11
277,130858,,19.9051,2025-05-20,27.0783,2026-05-19,7.1732,36.04
278,130859,,19.9051,2025-05-20,27.0783,2026-05-19,7.1732,36.04
279,130863,,19.9051,2025-05-20,27.0783,2026-05-19,7.1732,36.04
280,148953,,13.67,2025-05-20,18.55,2026-05-18,4.88,35.7
281,152091,,13.2081,2025-05-20,17.9204,2026-05-18,4.7123,35.68
282,152954,,11.0494,2025-05-20,14.9915,2026-05-19,3.9421,35.68
283,152955,INF277KA1CM9,11.0494,2025-05-20,14.9915,2026-05-19,3.9421,35.68
284,152956,,11.0494,2025-05-20,14.9915,2026-05-19,3.9421,35.68
285,126350,INF205K01A16,18.7426,2025-05-20,25.4169,2026-05-19,6.6743,35.61
286,126351,,18.7429,2025-05-20,25.4172,2026-05-19,6.6743,35.61
287,148956,INF846K01Z79,13.68,2025-05-20,18.55,2026-05-18,4.87,35.6
288,119517,,42.5402,2025-05-20,56.5509,2026-05-18,14.0107,32.94
289,106873,,39.4868,2025-05-20,52.2351,2026-05-18,12.7483,32.28
290,140274,,34.9079,2025-05-20,46.1686,2026-05-18,11.2607,32.26
291,149098,,15.877,2025-05-20,20.95,2026-05-19,5.073,31.95
292,149099,,15.877,2025-05-20,20.95,2026-05-19,5.073,31.95
293,147645,,17.2822,2025-05-20,22.7917,2026-05-18,5.5095,31.88
294,147648,,17.2822,2025-05-20,22.7917,2026-05-18,5.5095,31.88
295,140273,,31.6243,2025-05-20,41.4488,2026-05-18,9.8245,31.07
296,147646,,16.6365,2025-05-20,21.787,2026-05-18,5.1505,30.96
297,147647,,16.637,2025-05-20,21.7876,2026-05-18,5.1506,30.96
298,119602,,36.3213,2025-05-20,47.553,2026-05-18,11.2317,30.92
299,132009,,35.0764,2025-05-20,45.8688,2026-05-18,10.7924,30.77
300,132010,INF084M01EJ3,35.0943,2025-05-20,45.8922,2026-05-18,10.7979,30.77
301,153933,,119.7982,2025-11-07,156.5984,2026-05-19,36.8002,30.72
302,149097,,15.261,2025-05-20,19.945,2026-05-19,4.684,30.69
303,149100,,15.261,2025-05-20,19.945,2026-05-19,4.684,30.69
304,132003,INF084M01BB6,33.0274,2025-05-20,42.9398,2026-05-18,9.9124,30.01
305,132005,,33.0069,2025-05-20,42.9132,2026-05-18,9.9063,30.01
306,132140,,27.414,2025-05-20,35.6291,2026-05-18,8.2151,29.97
307,132141,INF084M01ED6,24.2463,2025-05-20,31.5121,2026-05-18,7.2658,29.97
308,148485,,19.7299,2025-05-20,25.6222,2026-05-18,5.8923,29.86
309,148487,INF846K01X22,19.7258,2025-05-20,25.6143,2026-05-18,5.8885,29.85
310,106370,,33.2168,2025-05-20,43.0888,2026-05-18,9.872,29.72
311,132138,,26.2116,2025-05-20,33.885,2026-05-18,7.6734,29.27
312,132139,INF084M01AV6,26.2164,2025-05-20,33.891,2026-05-18,7.6746,29.27
313,140296,,25.7786,2025-05-20,33.2738,2026-05-18,7.4952,29.08
314,153027,,11.1755,2025-05-20,14.4043,2026-05-19,3.2288,28.89
315,148486,,18.7994,2025-05-20,24.2274,2026-05-18,5.428,28.87
316,148488,INF846K01X55,18.7994,2025-05-20,24.2276,2026-05-18,5.4282,28.87
317,129188,,31.6385,2025-05-20,40.6166,2026-05-19,8.9781,28.38
318,129190,INF205K01B64,31.2683,2025-05-20,40.124,2026-05-19,8.8557,28.32
319,153026,,11.1475,2025-05-20,14.3003,2026-05-19,3.1528,28.28
320,140295,,23.3972,2025-05-20,29.9501,2026-05-18,6.5529,28.01
321,149230,,8.8844,2025-05-20,11.3603,2026-05-19,2.4759,27.87
322,149231,INF174V01AZ7,8.8844,2025-05-20,11.3603,2026-05-19,2.4759,27.87
323,129187,,28.6566,2025-05-20,36.5994,2026-05-19,7.9428,27.72
324,129189,INF205K01B31,28.6148,2025-05-20,36.5471,2026-05-19,7.9323,27.72
325,149298,,10.88,2025-05-20,13.82,2026-05-18,2.94,27.02
326,118550,INF090I01JQ2,81.2531,2025-05-20,103.1594,2026-05-18,21.9063,26.96
327,118551,,81.2531,2025-05-20,103.1594,2026-05-18,21.9063,26.96
328,149228,,8.5795,2025-05-20,10.8738,2026-05-19,2.2943,26.74
